Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2018-10-15,,98.67,96.93,98.01,,2063137.0,201588610.0,,,
2018-10-16,,101.02,97.44,100.96,,2823038.0,281804919.0,,,
2018-10-17,,102.92,99.61,100.34,,2842051.0,286521095.0,,,
2018-10-18,,98.87,94.38,94.38,,6853511.0,658582252.0,,,
2018-10-19,,96.1,93.14,95.3,,5046374.0,477623671.0,,,
2018-10-22,,96.71,94.57,94.99,,2354282.0,224978325.0,,,
2018-10-23,,93.93,91.84,92.6,,3639614.0,337654688.0,,,
2018-10-24,,94.13,91.62,91.68,,2717364.0,251528120.0,,,
2018-10-25,,93.8,89.29,93.68,,3499846.0,323241282.0,,,
2018-10-26,,93.03,90.56,92.99,,3687425.0,340233878.0,,,
2018-10-29,,93.9,92.19,92.63,,2365079.0,220008058.0,,,
2018-10-30,,93.29,91.38,92.61,,2284718.0,211119610.0,,,
2018-10-31,,95.37,93.15,94.66,,3823539.0,361341170.0,,,
2018-11-01,,95.11,92.94,93.46,,2660127.0,249444135.0,,,
2018-11-02,,95.5,93.76,94.39,,2747881.0,259926460.0,,,
2018-11-05,,94.96,93.59,93.78,,1560961.0,146994494.0,,,
2018-11-06,,94.17,92.73,93.42,,2045445.0,191072565.0,,,
2018-11-07,,94.82,93.2,94.62,,1936607.0,182784994.0,,,
2018-11-08,,95.27,94.04,94.33,,1891495.0,178921384.0,,,
2018-11-09,,95.33,93.94,95.17,,2394966.0,227174869.0,,,
2018-11-12,,93.5,89.78,89.8,,5416689.0,492057127.0,,,
2018-11-13,,92.31,90.03,91.88,,4237369.0,386925362.0,,,
2018-11-14,,93.28,90.4,91.94,,2432761.0,223533229.0,,,
2018-11-15,,92.81,91.2,92.15,,2184225.0,201135404.0,,,
2018-11-16,,93.18,90.74,91.7,,3342852.0,306736721.0,,,
2018-11-19,,92.37,88.51,88.95,,3119886.0,279882325.0,,,
2018-11-20,,89.12,86.21,88.04,,3398817.0,298775943.0,,,
2018-11-21,,89.65,88.15,89.3,,2427612.0,216319337.0,,,
2018-11-22,,89.43,88.24,88.52,,2000725.0,177333356.0,,,
2018-11-23,,89.65,87.92,89.35,,1970967.0,175269756.0,,,
2018-11-26,,90.53,89.65,90.0,,2209319.0,198965292.0,,,
2018-11-27,,90.62,89.21,90.19,,1790771.0,161215319.0,,,
2018-11-28,,91.33,90.38,90.83,,2129459.0,193608207.0,,,
2018-11-29,,92.35,91.04,91.1,,2404207.0,220109356.0,,,
2018-11-30,,91.99,90.83,90.92,,2860293.0,260506720.0,,,
2018-12-03,,93.14,92.29,92.51,,,,,,
2018-12-04,,92.65,91.72,91.95,,,,,,
2018-12-05,,90.87,89.88,90.31,,,,,,
2018-12-06,,89.17,87.47,87.92,,,,,,
2018-12-10,,89.85,88.25,88.46,,,,,,
2018-12-11,,90.92,89.03,89.85,,,,,,
2018-12-12,,91.77,89.81,91.23,,,,,,
2018-12-13,,91.65,90.18,90.78,,,,,,
2018-12-14,,90.43,89.1,89.94,,,,,,
2018-12-17,,89.82,87.78,88.66,,,,,,
2018-12-18,,89.12,87.73,87.75,,,,,,
2018-12-19,,89.57,87.71,89.22,,,,,,
2018-12-20,,88.94,87.43,87.77,,,,,,
2018-12-21,,87.98,85.7,86.42,,,,,,
